"15db0cf7-7afc-4a86-a7d4-221c73b0c9ac",,"Taxon Relationship Type","Taxon Relationship Type","TRT","1"
"6ee440bc-fd3d-4da2-ad85-906d35a94731",,"Includes or Excludes","Includes or Excludes","⊃!","Included in or Excludes","Included in or Excludes","⊂!",FALSE,FALSE
"d5c6953d-aa53-46f8-aafc-ebc6428ad5d0",,"Congruent to or Includes or Excludes","Congruent to or Includes or Excludes","≜⊃!","Congruent to or Included in or Excludes","Congruent to or Included in or Excludes","≜⊂!",FALSE,FALSE
"43d8492c-8bd5-4f38-a633-f1ad910a34dd",,"Included in or Includes or Excludes","Included in or Includes or Excludes","⊂⊃!","Included in or Includes or Excludes","Included in or Includes or Excludes","⊂⊃",TRUE,FALSE
"ecd2382b-3d94-4169-9dd2-2c4ea1d24605",,"Does Not Overlap","Does Not Overlap","≜⊂⊃!","Does Not Overlap","Does Not Overlap","≜⊂⊃!",TRUE,FALSE
"623ecdeb-ff1f-471d-a8dc-0d75b2fe8d94",,"Overlaps or Excludes","Overlaps or Excludes","⊕!","Overlaps or Excludes","Overlaps or Excludes","⊕!",TRUE,FALSE
"6fabef72-5264-44f1-bfc0-8e2e141375f2",,"Congruent to or Overlaps or Excludes","Congruent to or Overlaps or Excludes","≜⊕!","Congruent to or Overlaps or Excludes","Congruent to or Overlaps or Excludes","≜⊕!",TRUE,FALSE
"b7153c89-cc6c-4f8c-bf74-216f10feac46",,"Includes or Overlaps or Excludes","Includes or Overlaps or Excludes","⊃⊕!","Included in or Overlaps or Excludes","Included in or Overlaps or Excludes","⊂⊕!",FALSE,FALSE
"89dffa4e-e004-4d42-b0d1-ae1827529e43",,"Not Included in","Not Included in","≜⊃⊕!","Does Not Include","Does Not Include","≜⊂⊕!",FALSE,FALSE
"6c16c33b-cfc5-4a00-92bd-a9f9e448f389",,"Not Congruent to","Not Congruent to","⊂⊃⊕!","Not Congruent to","Not Congruent to","⊂⊃⊕!",TRUE,FALSE
"831fcd88-e5c9-49e0-b06e-bbb67d1c05c9",,"All Relationships","All Relationships","≜⊂⊃⊕!","All Relationships","All Relationships","≜⊂⊃⊕!",TRUE,FALSE
"4c48ba25-c1d0-4bdd-9260-c1fa2e42a5d3",,"Unclear","Unclear","??","Unclear","Unclear","??",TRUE,FALSE
"8d47e59a-790d-428f-8060-01d443519166",,"Not yet worked on","Not yet worked on","⌛","Unclear","Unclear","⌛",TRUE,FALSE
